Comment,Designator,Footprint,LCSC Part #
LED,D2,LED-TRICOLOR-SMD,C601699
4k7,R7 R8,M0805,C17673
10k,R11 R15 R16 R24,M0805,C17414
49k,R17 R18,M0805,C865522
220R,R23,M0805,C17557
300R,R9,M0805,C25304
CH340C,U3,SOIC127P600X180-16N,C84681
CJ2301,Q4,SOT23,C2910170
NPN,Q2 Q3,SOT95P237X112-3N,C18536
1K2,R2,M0805,C2988908
1R,R3 R4,M0805,C416081
1k,R6,M0805,C479089
1u,C1 C2,CAP_1206,C1848
1u,C17 C18,CAP_0805,C28323
2.2n,C11 C12,CAP_0805,C36576
2.2u,C8 C9,CAP_0805,C319190
3k9,R21 R22,M0805,C5140081
10k,R10 R12 R19 R20,M0805,C17414
10u,C14,CAP_0805,C2835555
22u,C15 C20,153CLV-0505,C98746
22u,C19,CAP_0805,C77071
100R,R5,M0805,C17408
100k,R1,M0805,C149504
100n,C3 C4 C5 C6 C7 C10 C13,CAP_0805,C476766
470R,R13 R14,M0805,C17710
8205A,U8,TSSOP8,C5148694
B5819ws,D1,SOD-323F,C64886
CJ2301,Q1,SOT23,C2910170
DW01A,U7,SOT23-6,C436931
ESP-32S,U4,ESP-32S,C82899
ME6211,U1,SOT-23-5,C94042
MINI-USB-SCHIELD-32005-201,X1,32005-201,C2688795
PCM5102,U6,TSSOP20,C107671
TDA1308SO8,U9,SO8,C2895052
TP4056,U2,SOP127P600X175-9N,C725790
